headline
»Hvordan i f... har han fundet ud af det?«
Enhedslistens stort anlagte plan får hug af økonomer: »Planen er mest af alt sambasocialistisk ønsketænkning«
Regning for ikke-vestlig indvandring: 33 mia. om året de næste 82 år
Minister til Frank Jensen: Løs Amager Fælled-sagen eller det får konsekvenser
Fatwa-ramt forfatter: Sådan kan Europa integrere muslimerne
Kan SKAT ændre priser aftalt mellem slægtninge?
Mens situationen i Mellemøsten slår gnister skal Ivanka Trump stå i spidsen for kontroversiel flytning
"»I Dansk Folkeparti overvejes et dramatisk træk, der kan forandre dansk politik«"
Prominent besøg på den Røde Plads: Trumps enegang åbner muligheder for Putin
Peter Aalbæk Jensen: »Jeg identificerer mig med MeToo-kampagnen!«
Hver ottende kvindelige leder har været udsat for sexchikane
"Psykiater: De unge er ulykkelige, og det er ikke så mærkeligt. Prøv at sætte dig i deres sted"
Sprogprøver indføres i 0. klasse for udvalgte skoler
"Drop nøleriet i udlændingepolitikken, når I alligevel er enige"
Tidligere top-socialdemokrat kritiserer nuværende partiledelse: S for selvmål
"Wonderful Copenhagen griber ind: Der er fare for, at Indre By ender som Venedig"
"Islamist frygter dødsstraf i Tunesien, men Merkel glæder sig over udvisningsdom"
Politi: Nu har vi alle bag to banderelaterede drabsforsøg
"Dansk Folkeparti frygter, at Alternativet tager magten"
»For tiden er jeg ret inspireret af Københavns offentlige toiletter«
Nye ejendomsvurderinger forsinket: Nu forlænger minister den nuværende beskatning
"Kim Walls kæreste: »Én skal huskes, og én bør glemmes. Valget er simpelt«"
De har karrierejob og bragende ADHD: »På nogle måder er det en form for superkraft«
»Min kone er min fortrolige livsledsager og bedste ven. Men jeg er ikke forelsket i hende«
Et semester på humaniora: »Det svarer til tre fulde arbejdsuger på et halvt år«
"De autoritære ledere er populære i en verden, hvor de liberale har svigtet"
Den smukke borgerlighed
Kan Søren Pind tillade sig at gå?
"Få ting kan gøre mig mere vred, end tomme radikale ord på befrielsesdagen"
Traditionen tro turnerer Caroline Henderson rundt i kirker og sikrer julefreden 2018
Livsnyderrejse til Ischia inkl. helpension og udflugter - kom med her!
"»Den Magiske Maske«: fortryllende familiemusical i Glassalen, Tivoli"
Politiet giver tilladelse til svensk moské: Må kalde til bøn over højttalere hver fredag
Eksperter frygter konsekvenser af Trumps exit: Det er noget møg
Når medarbejderen vil på orlov igen og igen
Morten fra »Morten og Peter« er død
Nedslag på københavnske ejerlejligheder er steget markant
Politi undersøger skud: Vidne så mand med pistol
"Kærlighed, komik og afgrundsdyb udmattelse i ny film om moderskabet"
Naser Khader: Trump traf den rette beslutning
"Melania Trumps popularitet vokser – og ja, det handler også om pornostjernen"
Regeringen lader del af Det Økonomiske Råd blive i København
"Lars Jørgensen: »Man er mere lettet over, at man ikke har tabt, end man er glad for, at man har vundet«"
Netværk og diskretion: Det her er også ejendomsmarkedet
Trump: Tre amerikanere er på vej hjem fra Nordkorea
Distortions gadefester i fare for at blive aflyst: »Vi vil ikke holdes for nar på den her konto længere«
Den svenske statsminister kom dårligt fra start: Nu taler alle om indvandring som det store tema ved valget i Sverige
Udenlandske kriminelle svindler den tyske stat for milliarder i børnepenge
Solgt: Så meget fik nyslået minister for sin villalejlighed
"Århundredets auktion: Sig Rockefeller, og milliarderne ruller"
Dansk kvinde hårdt kvæstet af stenkast fra motorvejsbro
Iskoldt eller sandwich med chokolade: Stem på Byens Bedste søde sager
Stem nu: Her er de nominerede i Byens Bedste 2018
Snart kommer den til Danmark: Her er hemmeligheden bag et langt liv
Turisters CO2-aftryk er langt større end antaget
Voldsomt vulkanudbrud på Hawaii
"Vi rev den ned fra hylderne, men først nu bliver bestselleren til en film"
»Tåbelig og overfladisk«: Irans øverste leder anklager Trump for at lyve
Få uger før historisk møde sender Nordkorea en usædvanlig advarsel til Donald Trump
Københavns Formel 1-projekt er under tidspres
Dansk selskab har givet Wall Street-banken Goldman Sachs baghjul
Verdenskendt guitar-mærke er tæt på fallit: Nu må chefen gå af
Whistleblower: Finanstilsynets hvidvaskrapport om Danske Bank har »væsentlige mangler«
2.500 boliger på Amager Fælled: Nu er fire muligheder blevet til tre
RokokoPosten: Folkeskoler ude af stand til at stoppe karamelterror
Hans Hauge: Uffe Elbæk er den ny Viggo Starcke
Edith Thingstrup: Elbæk-kommunisme
Peter Nedergaard: Ud-BLOX-ning
